=== Sheet: RLC Charges By Location (FINAL) ===

																		Published: January 2026
Location Codes	Ward Number	Charges Laid by Location & Year	Enforcement Start Date	Enforcement End Date	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
2724	6	Steeles Ave. and Alness St.	2021-07-29 00:00:00																108	226	435	502	313
2725	23	Markham Rd. and McLevin Ave.	2021-12-29 00:00:00																4	1206	1090	1035	734
2726	2	Burnhamthorpe Rd. and Martin Grove Rd.	2022-08-29 00:00:00																	809	1856	1627	833
2727	2	Burnhamthorpe Rd. and The West Mall	2021-08-27 00:00:00																72	152	169	196	148
2728	23	Markham Rd. and Milner Ave.	2021-09-27 00:00:00																34	163	172	121	104
2729	1	Ellesmere Rd. and Military Trl. / Orton Park Rd.	2022-11-29 00:00:00																	72	860	481	324
2730	5	Jane St. and St. Clair Ave. W.	2021-08-16 00:00:00																34	164	70	0	64
2731	23	Finch Ave. E. and Neilson Rd.	2021-09-30 00:00:00																122	243	293	207	185
2732	21	Lawrence Ave. and Howden Rd.	2021-12-16 00:00:00																77	2648	2260	1462	962
2733	23	Finch Ave. and Tapscott Rd.	2023-01-18 00:00:00																	36	256	254	200
2734	22	Kennedy Rd. and Finch Ave. E.	2021-11-09 00:00:00																29	158	162	87	76
2735	18	Finch Ave. E. and Kenneth Ave.	2021-10-21 00:00:00																6	133	130	91	106
2736	20	Warden Ave. and St. Clair Ave	2022-12-21 00:00:00																	37	276	181	144
2737	18	Willowdale Ave. and Spring Garden Ave.	2021-08-27 00:00:00																7	205	217	223	148
2738	16	O'Connor Dr. and Sunrise Ave.	2021-11-09 00:00:00																16	137	112	87	59
2739	1	Martin Grove Rd. and Bethridge Rd.	2021-09-30 00:00:00																174	475	440	571	723
2740	24	Kingston Rd. and Lawrence Ave.	2022-11-14 00:00:00																	303	557	512	1486
2741	21	Ellesmere Rd. and Brimley Rd.	2022-07-28 00:00:00																	200	361	362	544
2742	23	Brimley Rd. and Sheppard Ave. E	2021-09-27 00:00:00																78	379	282	176	112
2743	24	Markham Rd. and Greencedar Crct.	2021-08-27 00:00:00																16	161	189	157	146
2744	1	Rexdale Blvd. and Queens Plate Dr.	2022-11-02 00:00:00																	583	2763	1950	2106
2745	13	Yonge St. and Richmond St.	2022-09-16 00:00:00																	72	321	112	192
2746	3	Evans Ave. and Horner Ave.	2021-09-30 00:00:00																45	204	182	127	186
2747	17	Victoria Park Ave. and Steeles Ave.	2023-01-18 00:00:00																	108	1457	1178	1100
2748	2	Dundas St. 275 M N of Royal York Rd.	2021-10-21 00:00:00																166	1172	1127	658	636
2749	23	McCowan Rd. 210 metres S of Alton Towers Crcl. (North Intersection)	2021-11-09 00:00:00																33	1020	964	1028	945
2750	7	Jane St. 70 metres N of William Cragg Dr.	2021-12-16 00:00:00																10	307	774	828	875
2751	24	Neilson Rd. and Military Trl.	2022-03-17 00:00:00																	439	461	485	509
2752	1	Martin Grove Rd and John Garland Blvd.	2022-02-10 00:00:00																	188	417	286	216
2753	10	Lake Shore Blvd. and Bathurst st	2022-09-16 00:00:00																	144	377	484	442
2754	18	Bayview Ave. and Finch Ave. E	2022-08-19 00:00:00																	87	231	367	248
2755	14	O'Connor Dr. and Pape Ave.	2022-03-17 00:00:00																	779	572	477	356
2756	25	Meadowvale Rd. and Dean Oark Rd.	2022-03-30 00:00:00																	570	705	661	551
2757	24	Ellesmere Rd. and Morningside Ave.	2022-12-21 00:00:00																	1	184	147	112
2758	23	McCowan rd. and Alton Towers Crcl. (N Side)	2022-07-28 00:00:00																	257	753	538	410
2759	7	Islington Ave. and Millwick Dr.	2022-08-29 00:00:00																	25	465	804	785
2760	20	Pharmacy Ave. and St. Clair Ave. E.	2022-08-29 00:00:00																	122	390	686	618
2761	18	Yonge St. and Athabaska Ave.	2022-08-29 00:00:00																	808	2537	1908	2170
2762	21	McCowan Rd. and Bushby Rd.	2022-07-28 00:00:00																	350	596	324	0
2763	18	Empress Ave. and Yonge St	2022-09-27 00:00:00																	399	1585	918	518
2764	22	Warden ave. and Huntingwood Dr.	2022-03-17 00:00:00																	468	284	120	107
2765	21	Lawrence Ave. and Birchmount Rd.	2022-07-28 00:00:00																	153	426	355	498
2766	3	Bloor St. and Royal York Rd.	2022-05-20 00:00:00																	172	356	98	124
2767	2	Eglinton Ave. and Kipling Ave.	2022-06-29 00:00:00																	35	286	43	44
2768	3	The East Mall and North Queen St.	2022-07-22 00:00:00																	68	128	228	259
2769	1	Albion Rd. and Martin Grove Rd.	2022-10-11 00:00:00																	43	373	250	731
2770	1	Islington Ave. and Elmhurst Dr.	2022-07-13 00:00:00																	87	328	365	258
2771	21	Pharmacy Ave. and Surrey ave	2022-09-16 00:00:00																	81	400	507	375
2772	6	Keele St. and 401 C W Keele St. Ramp	2022-05-20 00:00:00																	1314	1356	1012	834
2773	13	Jarvis St. and Gerrard St.	2022-07-22 00:00:00																	72	152	123	92
2774	23	Sheppard Ave. and Washburn Way/Lapsley Rd.	2022-12-21 00:00:00																	21	641	225	456
2775	23	Steeles Ave. and Middlefield Rd.	2022-06-29 00:00:00																	61	223	181	134
2776	17	Victoria Park Ave. and Van Horne Ave.	2022-07-22 00:00:00																	240	503	331	268
2777	25	Morningside Ave. and Finch Ave. / Staines Rd.	2022-06-29 00:00:00																	1085	1676	1443	903
2778	22	Finch Ave. and Pharmacy Ave	2022-09-16 00:00:00																	257	923	783	536
2779	17	Victoria Park Ave. and Finch Ave.	2023-02-03 00:00:00																		462	389	498
2780	25	Sheppard Ave. and Breckon Gt./Brenyon Way	2022-09-27 00:00:00																	58	246	263	501
2781	17	Sheppard ave. and Leslie St.	2022-08-29 00:00:00																	1053	3476	2569	2112
2782	8	Dufferin St. and Lawrence Ave. W.	2022-09-27 00:00:00																	21	118	109	96
2783	13	Church St. and Carlton St.	2022-12-22 00:00:00																	1	142	133	121
2784	2	Eglinton Ave. and Centennial Park Blvd.	2022-12-22 00:00:00																	30	1884	1558	1274
2785	17	Hwy. 404 and Steeles Ave.	2024-10-03 00:00:00																		0	454	2111
2786	5	Jane St. and Maple Leaf Dr.	2022-09-27 00:00:00																	14	477	760	570
2787	8	Caledonia Rd. and Castlefield Ave.	2022-09-16 00:00:00																	178	628	0	0
2788	25	Morningside Ave. and Casebridge Crt.	2022-11-23 00:00:00																	11	145	90	129
2789	24	Scarborough Golf Club Rd. and Kingston Rd.	2022-10-14 00:00:00																	106	378	388	325
2790	15	Don Mills Rd. and Overlea Blvd./Gateway Blvd.	2022-12-21 00:00:00																	1	141	91	72
2791	24	Morningside Ave. and Kingston Rd.	2023-02-28 00:00:00																		141	166	150
2792	22	Pharmacy Ave. and Huntingdale Blvd.	2022-12-05 00:00:00																	13	286	220	206
2793	17	Victoria Park Ave. and Gordon Baker Rd.	2022-09-27 00:00:00																	162	495	416	372
2794	24	Markham Rd. and Brimorton Dr.	2022-10-11 00:00:00																	199	932	914	841
2795	1	Highway 27 and Carrier Dr.	2022-12-22 00:00:00																	3	143	128	101
2796	1	Rexdale Blvd. and Islington Ave.*	-	-																	0	0	0
2797	2	Kipling Ave. and The Westway	2022-10-11 00:00:00																		286	251	246
2798	21	Kennedy Rd. and Progress Ave./Glamorgan Ave.	2022-11-14 00:00:00																	49	1354	1099	872
2799	17	Victoria Park Ave. and Old Sheppard Ave.	2022-11-23 00:00:00																	37	479	734	543
2800	16	Victoria Park Ave. and Jonesville Cres./Craigton Dr.	2022-12-21 00:00:00																	11	602	503	429
2801	22	Bridletown Crcl. And Finch Ave. (W Intersection)	2022-11-29 00:00:00																	73	1216	939	708
2802	7	Steeles Ave. and Fenmar Dr.	2023-01-18 00:00:00																		656	593	696
2803	16	Victoria Park Ave. and Ellesmere Rd.	2022-11-29 00:00:00																	44	378	281	289
2804	23	Finch Ave. and Sandhurst Crcl. (W Intersection)	2022-11-29 00:00:00																	77	1316	911	658
2805	1	Finch Ave. and Humber College Blvd.	2022-11-02 00:00:00																	166	989	1127	822
2806	22	Sheppard Ave. and Aragon Ave.	2022-11-23 00:00:00																	116	1258	1009	611
2807	21	Ellesmere Rd. and Pharmacy Ave.	2022-11-14 00:00:00																	62	652	435	365
2808	23	Middlefield Rd. and McNicoll Ave.	2022-11-14 00:00:00																	86	884	786	560
2809	25	Sheppard Ave. and Meadowvale Rd.	2023-02-28 00:00:00																		231	157	108
2810	10	Harbour St. and York St.	2022-10-22 00:00:00																	9	2389	527	729
2811	14	Coxwell Ave. and Mortimer Ave.	2022-12-21 00:00:00																	9	302	330	236
2812	16	Victoria Park Ave. and Curlew Dr.	2022-11-23 00:00:00																	68	963	900	661
2813	17	Don Mills Rd. and Leith Hill Rd.	2022-11-24 00:00:00																	107	825	202	411
2814	16	Don Mills Rd. and York Mills Rd.	2023-04-26 00:00:00																		112	338	240
2815	3	The Queensway and 427 C S Queensway Ramp	2024-04-05 00:00:00																			308	647
2816	8	Avenue Rd. and Wilson Ave.	2024-09-18 00:00:00																			101	270
2817	5	Black Creek Dr. and Trethewey Dr.	2025-12-15 00:00:00																				3
2818	23	Finch Ave. and Midland Ave.	2025-12-19 00:00:00																				2
2820	3	Dundas St. W Near 4245 Dundas St. W	2025-07-03 00:00:00																				1112
2821	7	Jane St. and Grandravine Dr.	2025-10-14 00:00:00																				217
2025 Data is from January 1 2025 to December 31, 2025.
* Existing sites that have been decommissioned
** RLC site built, intersection is under third party construction
